Name,BSE Code,NSE Code,Industry,Current Price,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,EBIT preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,NPM preceding year quarter,Equity Capital preceding year quarter,EPS preceding year quarter,Market Capitalization
Shiva Cement,532323,,Cement - South India,50.94,0.00,-11.93,0.88,-11.05,26.63,-37.68,4.14,-41.82,-10.59,-31.23,0.00,-31.23,,,39.00,-1.06,1502.73
Shiva Global,530433,,Fertilizers,46.29,151.85,4.72,0.02,4.74,0.76,3.98,2.90,1.08,0.27,0.69,0.00,0.80,3.11,0.53,,0.69,46.26
Shiva Granito,540072,,Mining / Minerals / Metals,14.00,2.20,0.56,,,,,,,,,,-7.81,,,,-5.91,18.50
Shiva Mills,540961,SHIVAMILLS,Textiles - Spinning - Synthetic / Blended,94.91,37.53,-1.04,0.79,-0.25,1.55,-1.80,0.05,-1.85,0.04,-1.90,0.00,-1.90,-2.77,-5.06,8.64,-2.20,82.02
Shiva Suitings,521003,,Trading,23.25,0.84,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.03,-3.57,-3.57,1.55,-0.19,3.60
Shiva Texyarn,511108,SHIVATEX,Textiles - Cotton/Blended,190.61,97.44,-0.07,15.52,15.45,3.63,11.82,2.49,9.33,3.01,6.32,0.00,6.32,-0.07,6.49,12.96,4.88,247.08
Shivagrico Impl.,522237,,Castings & Forgings,23.61,9.07,0.61,0.00,0.61,0.33,0.28,0.31,-0.03,0.00,-0.03,0.00,-0.03,6.73,-0.33,5.01,-0.06,11.83
Shivalic,,SPCL,Electric Equipment,269.65,49.88,7.73,,,,,,,,,,4.50,,,,44.77,650.28
Shivalik Bimetal,513097,SBCL,Mining / Minerals / Metals,638.30,110.13,27.02,1.62,28.64,2.24,26.40,1.59,24.81,5.91,18.90,0.00,18.90,24.53,17.16,7.68,3.28,3676.88
Shivalik Rasayan,539148,SHIVALIK,Pesticides / Agrochemicals - Indian,640.40,62.93,10.12,0.90,11.02,2.81,8.21,1.36,6.85,-0.22,3.31,0.00,7.08,16.08,11.25,7.24,2.28,996.49
Shivam,544165,,Trading,55.74,,,,,,,,,,,,,,,,,94.69
Shivam Autotech,532776,SHIVAMAUTO,Auto Ancillaries,54.47,115.44,11.37,0.28,11.65,8.55,3.10,12.27,-9.17,1.88,-11.06,0.00,-11.06,9.85,-9.58,24.44,-0.90,665.74
Shivansh Finserv,539593,,Finance & Investments,4.46,0.00,-0.09,0.22,0.13,0.01,0.12,0.05,0.07,0.02,0.05,0.00,0.05,,,6.24,0.08,2.78
Shoora Designs,543970,,Diamond Cutting / Jewellery,68.64,,,,,,,,,,,,,,,,,10.29
Shoppers Stop,532638,SHOPERSTOP,Textiles - Products,737.25,993.61,171.86,7.29,179.15,105.03,74.12,54.14,19.98,5.49,14.49,0.00,14.49,17.30,1.46,,1.32,8106.90
Shraddha Prime,531771,,Construction,135.95,8.59,1.35,0.00,1.36,0.00,1.36,0.03,1.32,0.31,1.00,-0.01,1.00,15.72,11.76,,0.47,274.63
Shradha AI Tech,543976,,Computers - Software - Medium / Small,85.57,3.08,0.36,0.23,0.59,0.00,0.59,0.00,0.59,0.15,0.44,0.00,0.44,11.69,14.29,,0.18,208.63
Shradha Infrapr.,,SHRADHA,Construction,141.31,45.14,3.82,0.83,4.65,0.06,4.59,0.01,4.58,1.32,3.16,0.00,3.26,8.46,7.22,10.12,1.56,286.14
Shree Bhavya,521131,,Textiles - Processing,24.53,53.79,1.88,0.60,2.48,0.14,2.34,2.00,0.34,-0.08,0.43,0.00,0.43,3.50,0.80,9.50,0.45,23.30
Shree Cement,500387,SHREECEM,Cement - North India,27295.35,5100.19,889.20,145.72,1034.92,472.82,562.10,71.27,490.83,-34.38,525.21,0.00,525.21,17.43,10.30,36.08,145.72,98483.66
Shree Ganesh Bio,539470,,Pharmaceuticals - Indian - Bulk Drugs & Formln,1.21,7.98,-0.48,0.58,0.10,0.00,0.10,0.00,0.10,0.00,0.10,0.00,0.10,-6.02,1.25,19.93,0.00,48.23
Shree Ganesh Rem,540737,,Pharmaceuticals - Indian - Bulk Drugs & Formln,847.50,29.61,8.64,0.34,8.98,1.03,7.95,0.08,7.87,1.18,6.70,0.00,6.70,29.18,22.63,12.01,5.23,1087.91
Shree Hanuman Sg,537709,,Sugar,10.49,0.00,-6.92,0.00,-6.92,0.00,-6.92,0.00,-6.92,0.00,-6.92,0.00,-6.92,,,18.50,-3.74,19.41
Shree Karni,,SHREEKARNI,Textiles - Products,738.00,,,,,,,,,,,,,,,,,521.91
Shree Marutinand,544083,,Trading,203.30,22.74,2.34,,,,,,,,,,1.02,,,,49.76,70.34
Shree Metalloys,531962,,Trading,42.40,23.55,0.23,0.00,0.23,0.06,0.17,0.01,0.16,0.05,0.12,0.00,0.12,0.98,0.51,,0.23,22.30
Shree Mfg. Co.,503863,,Textiles - Cotton/Blended,14.11,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,,,,-0.01,11.71
Shree OSFM,,SHREEOSFM,Miscellaneous,157.55,,,,,,,,,,,,,,,,,225.04
Shree Pacetronix,527005,,Healthcare,169.55,7.52,2.97,0.04,3.01,0.15,2.86,0.08,2.78,0.82,1.96,0.00,1.96,39.49,26.06,3.60,5.45,61.03
Shree Precoated,533110,,Construction,16.79,0.00,-0.12,0.00,-0.12,0.00,-0.12,0.00,-0.12,0.00,-0.12,0.00,-0.12,,,4.14,-0.29,6.95
Shree Ram Prote.,,SRPL,Solvent Extraction,1.04,24.30,2.17,0.02,2.19,0.25,1.94,1.05,0.89,-0.03,0.92,0.00,0.92,8.93,3.79,21.42,0.02,44.55
Shree Rama News.,500356,RAMANEWS,Miscellaneous,20.77,13.38,1.66,-101.03,3.11,1.11,2.00,0.00,-100.48,0.00,2.01,-102.48,-100.47,12.41,15.02,147.52,-6.81,306.40
Shree Securities,538975,,Finance & Investments,0.37,0.06,-0.49,0.00,-0.49,0.00,-0.49,0.00,-0.49,0.00,-0.49,0.00,-0.49,-816.67,-816.67,79.80,-0.01,29.53
Shree Tirupati,,TIRUPATI,Packaging,728.00,79.29,8.61,,,,,,,,,,5.62,,,,5.55,737.47
Shree Vasu Logis,,SVLL,Miscellaneous,225.90,25.54,7.62,0.22,7.84,4.49,3.35,2.48,0.87,0.63,0.24,0.00,0.24,29.84,0.94,,0.21,259.02
Shreeji Translog,540738,,Miscellaneous,25.08,50.91,4.92,0.49,5.41,0.83,4.58,0.82,3.76,1.01,2.76,0.00,2.76,9.66,5.42,10.48,0.39,175.27
Shreeoswal Seeds,,OSWALSEEDS,Miscellaneous,26.55,26.27,0.45,0.07,0.52,0.12,0.40,0.53,-0.13,0.10,-0.23,0.00,-0.23,1.71,-0.88,15.25,-0.03,242.85
Shreeshay Engi.,541112,,Construction,49.10,3.74,-0.07,,,,,,,,,,0.00,,,,0.00,64.83
Shreevatsaa Fin.,532007,,Finance & Investments,21.39,0.21,0.11,0.00,0.11,0.00,0.11,0.00,0.11,0.00,0.11,0.00,0.11,52.38,52.38,10.10,0.11,21.60
Shrenik,,SHRENIK,Trading,0.78,8.60,-109.22,62.02,-48.56,0.10,-48.66,0.15,-47.45,0.00,-48.81,1.36,-47.45,-1270.00,-567.56,,-0.78,47.74
Shreyans Inds.,516016,SHREYANIND,Paper,287.10,227.59,31.92,2.14,34.06,3.24,30.82,1.10,29.72,5.60,24.12,0.00,24.12,14.03,10.60,13.82,17.45,396.77
Shreyas Interm.,526335,,Dyes And Pigments,10.39,0.00,-0.04,0.15,0.11,0.42,-0.31,0.04,-0.35,0.00,-0.35,0.00,-0.35,,,74.85,-0.05,73.62
Shreyas Shipping,520151,SHREYAS,Shipping,371.25,81.09,25.92,13.17,39.09,14.80,24.29,5.46,18.83,0.78,18.05,0.00,18.05,31.96,22.26,21.96,8.22,815.27
Shri Balaji,544074,,Engineering,236.15,33.41,5.51,,,,,,,,,,2.99,,,,2990.00,192.70
Shri Gang Indus,523309,,Breweries & Distilleries,77.03,48.73,8.68,0.55,9.23,1.67,7.56,2.69,4.87,-3.56,8.43,0.00,8.43,17.81,17.30,7.93,4.70,138.11
Shri Keshav,530977,,Cement - South India,199.30,31.92,8.13,0.50,8.63,2.68,5.95,7.18,-1.23,24.87,-26.10,0.00,-26.10,25.47,-81.77,12.00,-21.76,349.03
Shri Krishna,531080,,Construction,40.88,17.90,7.15,0.25,7.40,0.05,7.35,0.76,6.59,1.77,4.82,0.00,4.82,39.94,26.93,28.00,1.72,114.46
SHRI NIWAS L& F.,538897,,Finance & Investments,20.28,0.09,0.03,-0.14,0.03,0.00,0.03,0.00,-0.11,0.02,-0.01,-0.14,-0.13,33.33,-11.11,4.00,-0.33,8.11
Shri Techtex,,SHRITECH,Textiles - Products,73.55,,,,,,,,,,,,,,,,,183.51
Shri Vasuprada,538092,,Tea,93.39,14.44,-7.77,-0.44,-8.21,1.90,-10.11,1.48,-11.59,-0.72,-10.88,0.00,-10.88,-53.81,-75.35,8.28,-13.16,77.37
Shri Venkatesh,543373,,Solvent Extraction,130.50,305.26,13.90,0.01,9.53,0.26,9.27,2.47,6.80,1.08,5.72,0.00,6.48,5.96,3.58,11.06,2.93,288.66
Shricon Indus.,508961,,Construction,165.00,0.00,-0.02,1.46,1.44,0.01,1.43,0.07,1.36,0.00,1.36,0.00,1.36,,,,10.97,20.46
Shriram AMC,531359,,Finance & Investments,665.35,1.42,-1.27,0.08,-1.19,0.16,-1.35,0.47,-1.82,-0.87,-0.95,0.00,-0.95,-89.44,-66.90,60.00,-1.58,866.08
Shriram Finance,511218,SHRIRAMFIN,Finance & Investments,2992.10,8002.83,5861.85,40.88,5867.03,131.87,5735.16,3487.54,2283.32,572.18,1669.68,35.70,1712.19,73.25,20.95,,45.49,112482.36
Shriram Pistons,,SHRIPISTON,Auto Ancillaries,1947.10,716.42,146.16,19.07,165.23,22.67,142.56,6.20,136.36,34.91,101.45,0.00,101.45,20.40,14.16,,23.17,8576.94
Shriram Properti,543419,SHRIRAMPPS,Construction,107.40,117.85,-7.86,54.49,46.63,2.02,44.61,30.84,13.77,-2.05,15.23,0.00,15.82,-6.67,13.42,169.62,0.90,1829.59
Shristi Infra,511411,,Construction,43.02,42.68,2.88,-8.67,4.70,6.15,-1.45,14.81,-26.75,1.78,-20.77,-10.49,-30.77,6.75,-49.27,22.20,-13.69,95.50
Shrydus Indust.,511493,,Finance & Investments,20.95,3.26,0.11,0.01,0.12,0.00,0.12,0.00,0.12,0.00,0.12,0.00,0.12,3.37,3.68,9.06,0.05,67.07
Shubham Polyspin,542019,,Textiles - Products,23.10,10.77,0.56,0.28,0.84,0.38,0.46,0.29,0.17,0.07,0.10,0.00,0.10,5.20,0.93,11.02,0.08,28.00
Shubhlaxmi Jewel,,SHUBHLAXMI,Trading,27.70,41.86,1.23,,,,,,,,,,0.57,,,,0.65,24.39
Shukra Bullions,531506,,Diamond Cutting / Jewellery,26.61,0.61,0.03,0.05,0.08,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.08,4.92,13.11,5.01,0.16,13.36
Shukra Jewellery,523790,,Construction,7.03,1.87,0.30,0.00,0.30,0.03,0.27,-0.06,0.33,0.02,0.31,0.00,0.31,16.04,16.58,12.99,0.23,9.54
Shukra Pharma.,524632,,Pharmaceuticals - Indian - Formulations,78.43,46.25,3.65,0.89,4.54,0.51,4.03,0.07,3.96,-0.01,3.98,0.00,3.98,7.89,8.61,1.57,0.90,343.43
Shyam Century,539252,SHYAMCENT,Mining / Minerals / Metals,17.71,66.32,10.62,1.11,11.73,0.88,10.85,0.17,10.68,3.39,7.29,0.00,7.29,16.01,10.99,22.22,0.34,375.76
Shyam Metalics,543299,SHYAMMETL,Steel - Large,726.90,3333.03,413.86,29.82,443.68,158.05,285.63,36.72,248.91,47.02,201.89,0.00,201.89,12.42,6.06,,8.00,20290.09
Shyam Telecom,517411,SHYAMTEL,Trading,18.35,0.00,-0.38,0.69,0.31,0.04,0.27,0.00,0.27,0.18,0.10,0.00,0.10,,,11.27,0.09,20.68
Shyama Infosys,531219,,Computers - Software - Medium / Small,5.40,0.04,-0.78,0.92,0.14,0.00,0.14,0.02,0.12,0.03,0.09,0.00,0.09,-1950.00,225.00,10.06,0.09,5.43
Shyamkamal Inv,505515,,Finance & Investments,11.03,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,,,,-0.01,11.18
Sibar Auto Parts,520141,,Auto Ancillaries,13.77,6.25,-0.49,0.83,0.33,0.14,0.19,0.14,0.06,-0.03,0.08,0.01,0.09,-7.84,1.28,16.53,0.05,22.76
Sicagen India,533014,,Trading,66.21,227.42,11.37,7.55,12.56,3.55,9.01,2.64,12.73,1.56,5.59,6.36,11.17,5.00,2.46,39.57,2.82,261.99
Sical Logistics,520086,SICALLOG,Miscellaneous,138.62,95.11,4.88,-802.75,7.97,12.81,-4.84,6.96,-817.64,-0.05,-14.18,-805.84,-817.58,5.13,-15.72,58.54,-118.89,904.48
Siddha Ventures,530439,,Finance & Investments,9.02,0.00,20.29,0.00,20.29,0.00,20.29,0.00,20.29,0.00,20.29,0.00,20.29,,,10.00,20.29,9.02
Siddhes. Garment,526877,,Trading,15.31,0.00,-0.06,0.08,0.02,0.00,0.02,0.00,0.02,0.01,0.02,0.00,0.02,,,3.83,,5.07
Siddhika Coatins,,SIDDHIKA,Miscellaneous,156.95,18.27,2.64,,,,,,,,,,2.17,,,,3.50,96.98
Siel Fin. Serv.,532217,,Finance & Investments,78.36,0.00,-0.11,0.09,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.01,0.00,-0.01,,,11.32,-0.01,88.89
Siemens,500550,SIEMENS,Electric Equipment,6876.50,4465.20,554.90,188.00,742.90,53.80,689.10,7.40,681.70,165.70,516.00,0.00,516.00,12.43,11.56,71.20,14.49,244886.09
Sigachi Indust.,543389,SIGACHI,Pharmaceuticals - Indian - Bulk Drugs & Formln,65.73,72.42,12.17,1.55,13.72,1.98,11.74,1.41,10.33,3.02,7.32,0.00,7.32,16.80,10.11,30.74,0.24,2157.23
Sigma Solve,543917,SIGMA,Computers - Software - Medium / Small,402.55,13.68,7.32,0.65,7.97,0.25,7.72,0.00,7.72,0.98,4.09,0.00,6.73,53.51,49.20,,3.98,413.72
SignatureGlobal,543990,SIGNATURE,Construction,1431.95,704.64,33.09,5.23,38.32,5.46,32.86,10.94,21.92,14.27,7.61,0.00,7.65,4.70,1.09,,0.61,20120.43
Signet Industrie,512131,SIGIND,Plastics Products,79.22,312.52,20.42,1.16,21.58,2.32,19.26,12.00,7.26,2.75,4.52,0.00,4.52,6.53,1.45,29.44,1.54,233.20
Signoria Creatio,,SIGNORIA,Textiles - Products,135.00,14.44,3.24,,,,,,,,,,2.14,,,,19.28,64.23
Signpost India,544117,SIGNPOST,Miscellaneous,238.83,162.73,33.69,4.62,38.31,4.89,33.42,4.16,29.26,8.20,21.06,0.00,21.06,20.70,12.94,,,1276.55
Sika Interplant,523606,,Engineering,3061.70,18.84,2.61,0.83,3.44,0.20,3.24,0.12,3.12,1.07,2.05,0.00,2.05,13.85,10.88,,4.83,1298.16
Sikko Industries,,SIKKO,Pesticides / Agrochemicals - Indian,113.07,14.59,0.91,0.02,0.93,0.11,0.82,0.16,0.66,0.17,0.48,0.00,0.48,6.24,3.29,,0.29,189.96
Sikozy Realtors,524642,,Construction,1.19,0.00,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.02,0.01,-0.03,0.00,-0.03,,,4.46,-0.01,5.31
SIL Investments,521194,SILINV,Finance & Investments,580.20,3.41,1.79,1.16,2.95,0.41,2.54,0.43,2.11,0.47,1.58,0.00,1.64,52.49,48.09,,1.49,615.01
Silgo Retail,,SILGO,Diamond Cutting / Jewellery,37.10,13.33,1.56,0.03,1.59,0.01,1.58,0.45,1.13,0.30,0.82,0.00,0.82,11.70,6.15,10.27,0.40,68.62
Silicon Rental,543615,,Miscellaneous,187.10,18.71,15.32,,,,,,,,,,5.25,,,,5.11,192.19
Silkflex,,SILKFLEX,Trading,88.00,19.74,1.50,,,,,,,,,,0.24,,,,0.96,102.14
Silly Monks,,SILLYMONKS,Entertainment / Electronic Media Software,23.54,3.21,-4.22,0.01,-4.21,0.13,-4.34,0.00,-4.34,-0.52,-3.82,0.00,-3.82,-131.46,-119.00,10.21,-3.74,24.04
Silver Oak (I),531635,,Breweries & Distilleries,50.40,0.02,-0.24,0.89,0.65,0.10,0.55,0.19,0.36,0.00,0.08,0.00,0.36,-1200.00,1800.00,,0.21,19.10
Silver Pearl,543536,,Hotels,9.79,0.32,-0.02,,,,,,,,,,-0.04,,,,-0.05,7.69
Silver Touch,543525,SILVERTUC,Computers - Software - Medium / Small,789.95,43.94,7.23,0.00,7.23,1.36,5.87,0.38,5.49,1.39,4.09,0.00,4.09,16.45,9.31,12.68,3.23,1001.74
Silveroak Comm,512197,,Construction,3.90,0.09,-0.02,0.05,0.03,0.06,-0.03,0.59,-0.62,0.28,-0.91,0.00,-0.91,-22.22,-1011.11,2.75,-3.31,1.07
Simbhaoli Sugar,539742,SIMBHALS,Sugar,25.83,361.92,33.62,4.58,38.20,7.94,30.26,6.78,23.48,0.00,23.48,0.00,23.48,9.29,6.49,41.28,5.69,106.62
Simm. Marshall,507998,,Fasteners,90.53,45.64,4.07,1.36,5.43,1.70,3.73,2.24,1.49,0.07,1.41,0.00,1.41,8.92,3.09,2.24,1.26,101.39
Simplex Castings,513472,,Castings & Forgings,220.20,34.70,2.72,1.11,3.32,1.11,2.21,2.08,0.64,0.19,0.09,0.51,0.44,7.84,0.26,,0.72,151.76
Simplex Infra,523838,SIMPLEXINF,Construction,145.70,473.49,13.97,5.33,19.30,20.19,-0.89,234.32,-235.21,-138.32,-96.86,0.00,-96.89,2.95,-20.46,11.47,-16.95,832.57
Simplex Mills,533018,,Trading,4085.00,0.00,-0.15,0.17,0.02,0.01,0.01,0.05,-0.04,0.00,-0.04,0.00,-0.04,,,3.00,,12.26
Simplex Papers,533019,,Trading,1790.10,0.00,-0.05,0.00,-0.05,0.00,-0.05,0.00,-0.05,0.00,-0.05,0.00,-0.05,,,3.00,,5.37
Simplex Realty,503229,,Construction,161.55,0.23,-0.91,1.64,0.73,0.03,0.70,0.00,0.70,0.18,0.52,0.00,0.52,-395.65,226.09,2.99,1.73,48.30
Simran Farms,519566,,Miscellaneous,137.80,103.05,7.64,0.24,7.87,0.46,7.41,0.52,6.90,0.86,6.02,0.01,6.04,7.41,5.85,3.79,15.90,52.23
Sinclairs Hotels,523023,SINCLAIR,Hotels,104.60,13.41,5.48,19.71,6.30,1.35,4.95,0.25,23.59,3.69,4.08,18.89,19.90,40.87,30.43,5.57,3.66,536.18
Sindhu Trade,532029,SINDHUTRAD,Miscellaneous,18.49,381.01,28.62,112.08,140.70,14.89,125.81,81.00,44.81,13.39,31.42,0.00,31.42,7.51,8.25,,0.20,2851.03
Singer India,505729,,Engineering,84.43,114.63,-0.66,1.51,0.85,0.48,0.37,0.11,0.26,0.01,0.25,0.00,0.25,-0.58,0.22,10.74,0.04,516.65
Sinnar Bidi Udy.,509887,,Miscellaneous,758.50,1.28,-0.17,0.40,0.23,0.01,0.22,0.00,0.22,-0.02,0.25,0.00,0.25,-13.28,19.53,0.20,6.25,30.34
Sintercom India,,SINTERCOM,Auto Ancillaries,129.32,19.68,3.36,0.04,3.40,1.99,1.41,0.91,0.50,0.20,0.30,0.00,0.30,17.07,1.52,26.54,0.11,355.99
Sir Shadi Lal,532879,,Sugar,341.50,85.84,-2.22,0.03,-2.19,2.48,-4.67,1.42,-6.09,0.00,-6.09,0.00,-6.09,-2.59,-7.09,,-11.60,179.29
Sirca Paints,543686,SIRCA,Trading,360.70,68.27,13.12,1.12,14.24,1.25,12.99,0.00,12.99,3.50,9.49,0.00,9.49,19.22,13.90,27.40,1.73,1976.95
Sirohia & Sons,538667,,Trading,12.00,0.00,-0.29,,,,,,,,,,0.07,,,,0.07,12.31
SIS,540673,SIS,Miscellaneous,450.95,2976.73,139.05,14.00,153.05,35.75,117.30,32.74,84.56,-4.95,89.51,0.00,89.51,4.67,3.01,,6.14,6499.54
Sita Enterprises,512589,,Finance & Investments,53.42,0.13,0.03,0.00,0.03,0.00,0.03,0.00,0.03,-0.01,0.04,0.00,0.04,23.08,30.77,3.00,0.13,16.03
Siti Networks,532795,SITINET,Entertainment / Electronic Media Software,0.88,335.46,25.44,10.20,35.64,75.20,-39.56,28.44,-68.00,0.99,-64.46,0.00,-68.99,7.58,-20.57,,-0.74,76.74
Siyaram,544047,,Mining / Minerals / Metals,91.37,275.22,4.83,,,,,,,,,,-1.41,,,,-1.02,171.75
Siyaram Silk,503811,SIYSIL,Textiles - Processing,508.10,353.75,22.53,8.19,30.72,13.46,17.26,4.06,13.20,3.18,10.02,0.00,10.02,6.37,2.83,,2.14,2305.25
Sizemasters Tech,513496,,Auto Ancillaries,233.40,0.65,0.22,0.08,0.30,0.01,0.29,0.01,0.28,0.07,0.21,0.00,0.21,33.85,32.31,,0.21,233.40
SJ Corp,504398,,Diamond Cutting / Jewellery,44.00,10.01,-0.01,0.01,0.00,0.01,-0.01,0.00,-0.01,0.05,-0.05,0.00,-0.05,-0.10,-0.50,0.84,-0.06,36.76
SJS Enterprises,543387,SJS,Plastics Products,991.05,117.25,28.19,3.19,31.38,6.18,25.20,1.06,24.14,6.14,18.00,0.00,18.00,24.04,15.35,,5.80,3076.01
SJVN,533206,SJVN,Power Generation And Supply,143.81,503.77,178.19,68.00,258.27,85.52,172.75,48.63,112.04,94.83,24.57,-12.08,17.21,35.37,4.88,3929.80,0.04,56514.38
SKF India,500472,SKFINDIA,Bearings,5566.65,1094.69,167.01,19.77,186.78,16.89,169.89,0.32,169.57,46.72,122.85,0.00,122.85,15.26,11.22,49.44,24.85,27520.38
SKIL Infrastr,539861,SKIL,Construction,7.24,0.00,-0.94,339.16,-0.94,0.00,-0.94,17.69,320.53,0.00,-18.64,339.16,320.52,,,,14.80,156.80
Skipper,538562,SKIPPER,Engineering,401.50,554.58,60.14,1.46,61.60,12.43,49.17,28.10,21.07,7.05,14.02,0.00,14.02,10.84,2.53,,1.24,4372.01
SKM Egg Prod.,532143,SKMEGGPROD,Food - Processing - Indian,263.75,186.67,43.30,3.31,46.61,2.70,43.91,3.77,40.14,10.41,29.71,0.00,29.73,23.20,15.93,26.33,11.28,694.45
SKP Bearing,,SKP,Bearings,216.20,,,,,,,,,,,,,,,,,358.89
SKP Securities,531169,,Finance & Investments,149.05,5.85,1.32,0.00,1.32,0.12,1.20,0.06,1.14,0.28,0.85,0.00,0.85,22.56,14.53,,1.25,101.49
Sky Gold,541967,SKYGOLD,Diamond Cutting / Jewellery,2043.35,269.92,11.68,0.22,11.90,0.38,11.52,3.63,7.89,1.82,6.08,0.00,6.08,4.33,2.25,5.37,5.66,2704.82
Sky Industries,526479,,Textiles - Products,111.25,17.54,1.39,0.20,1.59,0.43,1.16,0.48,0.68,0.14,0.55,0.00,0.55,7.92,3.14,,0.70,87.78
Skyline Millars,505650,,Construction,25.03,0.00,-0.61,-0.06,-0.49,0.00,-0.49,0.00,-0.67,0.00,-0.50,-0.18,-0.68,,,4.02,-0.17,100.68
Skyline Ventures,538919,,Trading,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,-0.01,,,3.97,-0.03,17.85
Slone,,SLONE,Computers - Hardware,163.20,,,,,,,,,,,,,,,,,85.99
SM Auto Stamping,543065,,Auto Ancillaries,55.65,33.40,1.94,,,,,,,,,,0.82,,,,0.57,76.17
Smart Finsec,539494,,Finance & Investments,13.40,4.34,0.16,0.00,0.16,0.01,0.15,0.00,0.15,0.07,0.07,0.00,0.07,3.69,1.61,3.00,0.02,40.20
Smartlink Hold.,532419,SMARTLINK,Finance & Investments,300.00,49.98,1.50,0.26,1.76,0.78,0.98,0.56,0.42,-1.39,1.73,0.00,1.81,3.00,3.62,2.00,1.73,299.25
SMC Global Sec.,543263,SMCGLOBAL,Finance & Investments,149.14,311.47,78.62,0.84,79.46,6.55,72.91,32.97,39.94,9.82,30.01,0.00,30.13,25.24,9.67,,2.87,1561.50
SMIFS Cap. Mkt.,508905,,Finance & Investments,58.54,12.11,-0.80,0.95,0.15,0.07,0.08,0.00,0.08,0.02,0.07,0.00,0.07,-6.61,0.58,,0.13,32.72
Smiths & Founder,513418,,Castings & Forgings,7.47,2.72,0.19,0.00,0.19,0.06,0.13,0.13,0.00,0.00,0.00,0.00,0.00,6.99,0.00,10.20,0.00,76.19
SML ISUZU,505192,SMLISUZU,Automobiles - LCVs / HCVs,2157.25,631.61,46.71,2.20,48.91,11.64,37.27,5.22,32.05,0.26,31.79,0.00,31.79,7.40,5.03,,21.97,3121.54
Smruthi Organic,540686,,Pharmaceuticals - Indian - Bulk Drugs,155.20,34.91,4.62,0.01,4.63,1.24,3.39,0.33,3.06,0.78,2.29,0.00,2.29,13.23,6.56,,2.00,177.65
SMS Lifesciences,540679,SMSLIFE,Pharmaceuticals - Indian - Bulk Drugs & Formln,961.40,63.73,2.28,4.81,4.74,2.92,1.82,1.80,2.37,0.25,0.89,2.35,2.11,3.58,1.73,3.02,5.66,290.66
SMS Pharma.,532815,SMSPHARMA,Pharmaceuticals - Indian - Bulk Drugs,312.75,149.43,23.25,1.26,24.51,7.97,16.54,5.89,10.65,2.57,8.07,0.00,8.07,15.56,5.40,8.47,0.95,2647.49
SMVD Poly Pack,,SMVD,Plastics Products,13.50,48.93,2.70,,,,,,,,,,-0.26,,,,-0.26,13.54
SNL Bearings,505827,,Bearings,363.65,11.33,2.29,0.34,2.63,0.39,2.24,0.00,2.24,0.71,1.53,0.00,1.53,20.21,13.50,3.61,4.24,131.28
Snowman Logistic,538635,SNOWMAN,Miscellaneous,79.19,112.35,21.68,3.88,25.56,13.10,12.46,5.49,6.97,1.87,5.10,0.00,5.10,19.30,4.54,167.09,0.31,1323.17
Sobha,532784,SOBHA,Construction,1731.70,1209.93,115.77,30.21,145.98,17.88,128.10,61.17,66.93,18.36,48.58,0.00,48.58,9.57,4.02,94.80,4.54,17525.50
Sobhagya Mercant,512014,,Diversified - Medium / Small,45.60,45.65,6.49,0.00,6.49,0.14,6.35,0.12,6.23,1.72,4.51,0.00,4.51,14.22,9.88,,5.37,38.30
Sofcom Systems,538923,,Computers - Software - Medium / Small,38.34,0.04,-0.01,0.00,-0.01,0.00,-0.01,0.18,-0.19,0.00,-0.19,0.00,-0.19,-25.00,-475.00,4.63,-0.46,15.93
Softrak Venture,531529,,Finance & Investments,15.75,0.03,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,33.33,33.33,,0.00,71.00
Softsol India,532344,,Computers - Software - Medium / Small,299.30,18.77,0.57,15.72,16.29,0.67,15.62,1.40,14.22,0.58,13.65,0.00,13.65,3.04,72.72,17.24,8.11,441.88
Softtech Enginee,543470,SOFTTECH,Computers - Software - Medium / Small,361.00,18.34,5.08,0.41,5.49,2.81,2.68,1.18,1.50,1.37,0.13,0.00,0.13,27.70,0.71,10.15,0.31,462.77
Solar Industries,532725,SOLARINDS,Chemicals,10636.35,1928.54,357.23,11.34,368.57,35.31,333.26,31.24,302.02,81.44,206.10,0.00,220.58,18.52,11.44,18.10,22.78,96248.39
