Name,BSE Code,NSE Code,Industry,Current Price,Operating profit preceding quarter,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,EBIT preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,NPM preceding year quarter,Equity Capital preceding year quarter,EPS preceding year quarter,Market Capitalization
Oasis Securities,512489,,Finance & Investments,187.00,0.63,0.47,0.48,0.00,0.48,0.02,0.46,0.00,0.46,0.07,0.39,0.00,0.39,102.13,82.98,1.85,2.11,34.60
Oberoi Realty,533273,OBEROIRLTY,Construction,1751.75,509.36,961.43,368.70,93.77,462.47,9.74,452.73,62.05,390.68,-89.61,480.29,0.00,480.29,38.35,49.96,363.60,13.21,63694.03
Objectone Inform,535657,,Computers - Software - Medium / Small,14.44,0.26,2.99,0.73,-0.02,0.77,0.08,0.69,0.04,0.59,0.27,0.35,-0.06,0.32,24.41,11.71,10.51,0.30,15.18
Octal Credit Cap,538894,,Finance & Investments,25.90,0.05,0.07,-0.83,0.00,-0.83,0.00,-0.83,0.00,-0.83,0.00,-0.83,0.00,-0.83,-1185.71,-1185.71,5.00,-1.66,12.95
Octavius Plant.,542938,,Trading,81.10,0.82,11.07,0.54,0.29,0.83,0.02,0.81,0.30,0.51,0.41,0.10,0.00,0.10,4.88,0.90,3.00,0.33,24.33
Octaware Tech.,540416,,Computers - Software - Medium / Small,59.23,-0.16,8.55,-1.59,,,,,,,,,,-1.04,,,,-2.84,21.27
Odyssey Corpn.,531996,,Finance & Investments,11.65,-0.47,13.18,-2.65,0.88,-1.77,0.05,-1.82,0.01,-1.83,0.04,-0.81,0.00,-1.87,-20.11,-14.19,19.70,-0.21,45.92
Odyssey Tech.,530175,,Computers - Software - Medium / Small,149.00,1.15,7.92,3.58,0.56,4.14,0.70,3.44,0.00,3.44,0.69,2.75,0.00,2.75,45.20,34.72,15.75,1.74,235.53
Oil Country,500313,OILCOUNTUB,Steel - Medium / Small,37.80,1.91,0.15,-2.41,1.03,-1.38,15.65,-17.03,2.47,-19.50,-5.65,-13.85,0.00,-13.85,-1606.67,-9233.33,44.29,-3.13,167.42
Oil India,533106,OIL,Oil Drilling / Allied Services,719.45,3443.24,7851.78,3302.96,172.55,3475.51,437.72,3037.79,152.94,2884.85,905.11,1742.83,0.00,1979.74,42.07,25.21,1084.41,16.07,78017.49
OK Play India,526415,,Plastics Products,13.20,8.50,53.26,9.55,0.14,9.66,2.92,6.74,4.01,2.76,4.79,-2.01,0.03,-2.03,17.93,-3.77,19.20,-0.11,383.16
Olatech Solution,543578,,Computers - Software - Medium / Small,144.95,1.79,5.34,0.77,,,,,,,,,,0.48,,,,1.12,62.74
Olectra Greentec,532439,OLECTRA,Automobiles - LCVs / HCVs,1779.65,48.85,375.91,49.98,1.93,51.91,9.13,42.78,7.73,35.05,7.57,27.01,0.00,27.50,13.30,7.32,32.83,3.29,14607.49
Olympia Industri,521105,,Trading,55.17,1.64,50.00,1.52,0.06,1.58,0.26,1.32,1.00,0.32,-0.02,0.34,0.00,0.34,3.04,0.68,6.02,0.56,33.24
Olympic Cards,534190,,Printing & Stationery,3.10,-0.46,3.66,-0.43,0.61,0.18,0.42,-0.24,0.73,-0.97,0.01,-0.97,0.00,-0.97,-11.75,-26.50,16.31,-0.59,5.05
Olympic Oil Ind.,507609,,Trading,50.34,-0.14,0.00,-0.09,0.01,-0.08,0.00,-0.08,0.00,-0.08,0.00,-0.08,0.00,-0.08,,,2.85,-0.28,14.35
Om Infra,531092,OMINFRAL,Engineering - Turnkey Services,162.00,2.18,346.66,20.94,19.34,40.28,2.51,37.77,8.75,29.02,21.22,7.64,0.00,7.64,6.04,2.20,9.63,0.79,1560.09
Omansh Enterpri.,538537,,Trading,0.66,-0.01,0.00,-0.18,-4.08,-0.18,0.00,-0.18,0.00,-4.26,0.00,-0.18,-4.08,-4.26,,,,-2.40,1.17
Omax Autos,520021,OMAXAUTO,Auto Ancillaries,148.00,6.38,92.26,8.12,4.44,12.56,5.63,6.93,4.86,2.07,-4.87,6.94,0.00,6.94,8.80,7.52,21.39,3.24,316.57
Omaxe,532880,OMAXE,Construction,118.10,-37.40,289.47,-109.47,8.70,-100.77,16.17,-116.94,25.78,-142.72,-38.33,-104.39,0.00,-104.39,-37.82,-36.06,182.90,-5.77,2160.07
Omega Interactiv,511644,,Computers - Software - Medium / Small,299.30,-0.04,0.03,-0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-33.33,0.00,,0.00,14.97
Omfurn India,,OMFURN,Miscellaneous,67.45,5.00,46.54,2.88,,,,,,,,,,1.53,,,,1.87,79.42
Omkar Overseas,531496,,Trading,4.72,-0.02,0.00,-0.04,0.01,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.03,,,4.92,-0.06,2.36
Omkar Pharmachem,532167,,Miscellaneous,24.00,0.07,0.14,0.11,0.00,0.11,0.00,0.11,0.05,0.06,0.07,-0.01,0.00,-0.01,78.57,-7.14,10.08,-0.01,24.20
Omkar Spl.Chem.,533317,OMKARCHEM,Chemicals,6.96,-3.11,7.36,-0.40,0.02,-0.38,0.47,-0.85,1.43,-2.28,0.00,-2.28,0.00,-2.28,-5.43,-30.98,,-1.11,14.32
Omni Ax's,532340,,Computers - Software - Medium / Small,4.20,0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.22,0.00,7.24
Omnipotent,543400,,Trading,9.48,-0.06,3.19,-0.17,,,,,,,,,,0.53,,,,0.88,5.74
Omnitex Industri,514324,,Trading,160.00,-0.02,0.34,-0.03,0.00,-0.03,0.01,-0.04,0.00,-0.04,0.01,-0.05,0.00,-0.05,-8.82,-14.71,4.23,-0.12,67.20
On Door Concepts,,ONDOOR,Trading,450.10,2.66,,,,,,,,,,,,,,,,,254.24
One 97,543396,PAYTM,Miscellaneous,419.00,-163.30,2334.50,-131.40,130.10,-1.30,159.80,-161.10,7.10,-168.20,-0.70,-167.50,0.00,-167.50,-5.63,-7.17,64.90,-2.66,26648.11
One Global Serv,514330,,Healthcare,146.20,2.01,5.34,0.51,0.00,0.51,0.08,0.43,0.00,0.43,-0.01,0.44,0.00,0.44,9.55,8.24,7.10,0.62,103.80
One Point One,,ONEPOINT,Computers - Software - Medium / Small,60.59,14.78,35.68,8.62,3.04,11.66,5.50,6.16,1.41,4.75,1.80,2.95,0.00,2.95,24.16,8.27,37.61,0.16,1294.14
OneClick Logisti,,OLIL,Miscellaneous,80.15,0.13,3.89,0.22,,,,,,,,,,0.19,,,,190.00,28.88
Onelife Capital,533632,ONELIFECAP,Finance & Investments,18.36,-0.33,1.37,-0.82,0.39,-0.43,0.03,-0.46,0.86,-1.32,-0.11,-1.21,0.00,-1.21,-59.85,-88.32,13.36,-0.91,24.53
Onesource Ideas,530805,,Finance & Investments,60.00,0.35,0.00,-0.08,0.04,-0.04,0.00,-0.04,0.00,-0.04,-0.05,0.00,0.00,0.00,,,3.08,0.00,18.45
OnMobile Global,532944,ONMOBILE,Telecommunications - Service Provider,72.70,0.16,128.20,2.03,-6.39,0.80,2.58,-1.78,0.25,-7.19,-5.07,3.04,-5.16,-2.12,1.58,2.37,105.60,-0.20,772.92
Ontic Finserve,540386,,Finance & Investments,0.58,-2.67,-28.66,-56.92,-0.08,-57.00,0.00,-57.00,0.00,-57.00,0.02,-57.02,0.00,-57.02,,,9.00,-6.34,5.22
Onward Technolog,517536,ONWARDTEC,Computers - Software - Medium / Small,409.90,10.67,121.37,15.33,0.48,15.81,3.25,12.56,0.39,12.17,4.93,7.24,0.00,7.24,12.63,5.97,22.02,3.25,925.53
Optiemus Infra.,530135,OPTIEMUS,Trading,315.15,21.99,340.50,-5.10,34.11,29.01,3.73,25.28,1.57,23.71,6.49,17.22,0.00,17.22,-1.50,5.06,85.81,2.01,2705.78
Optimus Finance,531254,,Finance & Investments,107.00,3.70,25.17,3.68,-1.52,2.16,0.31,1.85,0.29,1.56,0.12,0.96,0.00,1.44,14.62,5.72,5.57,1.28,79.95
Oracle Fin.Serv.,532466,OFSS,Computers - Software - Medium / Small,10235.45,868.58,1470.52,650.86,61.27,712.13,18.69,693.44,7.67,685.77,206.46,479.30,0.00,479.30,44.26,32.59,43.12,55.48,88753.49
Orbit Exports,512626,ORBTEXP,Textiles - Processing,182.15,8.99,41.79,8.82,1.36,10.55,3.70,6.85,0.77,5.71,0.56,5.46,-0.37,5.15,21.11,13.07,27.38,1.91,482.09
Orchasp Ltd,532271,,Computers - Software - Medium / Small,3.90,0.39,9.71,-6.57,4.85,-1.72,0.02,-1.74,0.18,-1.92,-0.25,-1.66,0.00,-1.66,-67.66,-17.10,19.79,-0.15,67.98
Orchid Pharma,524372,ORCHPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,1164.60,35.38,209.90,39.68,34.17,41.41,7.21,34.20,7.48,59.16,0.00,26.70,32.44,59.14,18.90,12.72,40.82,14.49,5906.75
Organic Coatings,531157,,Chemicals,16.66,0.32,5.93,0.62,0.02,0.64,0.22,0.42,0.38,0.04,0.00,0.04,0.00,0.04,10.46,0.67,7.67,0.05,12.79
Organic Recyclin,543997,,Miscellaneous,301.00,5.57,,,,,,,,,,,,,,,,,231.77
Oriana Power Ltd,,ORIANA,Power Generation And Supply,2471.00,11.35,,,,,,,,,,,,,,,,,4740.02
Oricon Enterpris,513121,ORICONENT,Packaging,38.38,-8.01,17.86,-12.05,15.50,-7.90,2.12,-10.02,1.92,-0.59,-2.99,-8.94,11.35,2.41,-67.47,-50.06,31.41,0.15,602.73
Orient Bell,530365,ORIENTBELL,Ceramics - Tiles / Sanitaryware,392.30,0.95,200.33,13.16,1.21,14.37,5.29,9.08,0.63,8.45,2.11,6.34,0.00,6.34,6.57,3.16,14.43,4.38,572.55
Orient Beverages,507690,,Miscellaneous,396.00,1.85,30.37,0.45,2.61,3.06,0.69,2.37,2.07,0.30,0.74,-0.44,0.00,-0.44,1.48,-1.45,2.16,-2.04,85.54
Orient Cement,535754,ORIENTCEM,Cement - South India,270.25,115.40,876.03,139.45,4.85,144.30,36.47,107.83,9.53,98.30,30.92,67.38,0.00,67.38,15.92,7.69,20.49,3.29,5536.57
Orient Ceratech,504879,ORIENTCER,Refractories / Intermediates,50.30,5.99,81.15,7.63,1.55,9.18,2.27,6.91,1.08,5.83,0.51,5.32,0.00,5.32,9.40,6.56,11.97,0.44,601.78
Orient Electric,541301,ORIENTELEC,Domestic Appliances,270.85,48.92,657.91,46.36,6.34,52.70,13.74,38.96,6.12,32.84,8.22,24.62,0.00,24.62,7.05,3.74,21.22,1.16,5779.02
Orient Green,533263,GREENPOWER,Power Generation And Supply,20.39,13.89,44.43,21.69,8.59,23.71,20.83,2.88,28.42,-18.97,0.00,-25.54,6.57,-18.97,48.82,-57.48,750.72,-0.21,1999.69
Orient Paper,502420,ORIENTPPR,Paper,55.25,17.42,258.48,68.49,19.03,87.52,10.03,77.49,5.75,71.74,21.79,49.95,0.00,49.95,26.50,19.32,21.22,2.35,1172.30
Orient Press,526325,ORIENTLTD,Packaging,107.01,1.29,48.70,3.18,0.69,3.87,1.05,2.82,2.07,0.75,0.19,0.56,0.00,0.56,6.53,1.15,10.00,0.56,107.01
Orient Tradelink,531512,,Construction,12.49,0.63,1.48,0.00,0.62,0.62,0.05,0.57,0.00,0.57,0.26,0.31,0.00,0.31,0.00,20.95,10.97,0.13,30.65
Oriental Aromat.,500078,OAL,Chemicals,389.45,14.11,195.34,9.18,0.74,9.92,4.97,4.95,3.15,1.80,0.61,1.19,0.00,1.19,4.70,0.61,16.83,0.35,1310.63
Oriental Carbon,506579,OCCL,Chemicals,209.50,17.78,122.29,28.03,0.29,28.32,7.20,21.12,3.09,18.03,4.32,12.63,0.00,13.72,22.92,11.22,9.99,12.64,209.30
Oriental Hotels,500314,ORIENTHOT,Hotels,136.75,28.53,111.40,31.97,4.41,36.38,5.79,30.59,4.75,25.84,7.83,20.74,0.00,20.74,28.70,18.62,17.86,1.16,2442.34
Oriental Rail,531859,,Miscellaneous,276.70,23.92,120.38,-5.55,0.63,-4.92,1.76,-6.68,4.62,-11.30,-3.28,-8.01,0.00,-8.01,-4.61,-6.65,5.39,-1.49,1700.56
Oriental Trimex,532817,ORIENTALTL,Trading,10.93,-0.76,0.13,-0.83,0.00,-0.83,0.37,-1.20,0.07,-1.27,-0.93,-0.34,0.00,-0.34,-638.46,-261.54,28.52,-0.12,32.15
Orissa Bengal,541206,OBCL,Miscellaneous,61.40,2.98,81.00,-6.11,0.25,-5.86,0.75,-6.61,0.14,-6.75,-1.65,-5.09,0.00,-5.09,-7.54,-6.28,21.08,-2.41,129.43
Orissa Minerals,590086,ORISSAMINE,Mining / Minerals / Metals,7242.80,3.01,7.91,-3.83,1.01,-2.82,0.55,-3.37,5.51,-8.88,0.01,-8.89,0.00,-8.89,-48.42,-112.39,,-14.82,4345.68
Orosil Smiths,531626,,Diamond Cutting / Jewellery,3.88,-0.05,0.14,0.01,0.07,0.08,0.07,0.01,0.01,0.00,0.00,0.00,0.00,0.00,7.14,0.00,5.22,0.00,16.04
Ortel Commu.,539015,ORTEL,Entertainment / Electronic Media Software,1.67,-2.50,18.18,2.50,1.47,3.97,6.43,-2.46,0.00,-2.46,0.00,-2.46,0.00,-2.46,13.75,-13.53,,-0.75,5.51
Ortin Labs.,539287,ORTINLAB,Pharmaceuticals - Indian - Bulk Drugs & Formln,19.89,-2.60,1.49,-0.03,-0.03,-0.03,0.03,-0.06,0.12,-0.21,-0.01,-0.17,-0.03,-0.20,-2.01,-11.41,8.13,-0.25,16.16
Oscar Global,530173,,Leather / Leather Products,8.70,-0.04,0.00,-0.17,0.01,-0.16,0.00,-0.16,0.00,-0.16,0.00,-0.16,0.00,-0.16,,,3.29,-0.48,2.87
Osia Hyper Reta.,,OSIAHYPER,Trading,23.59,17.46,187.93,11.68,-0.08,11.75,2.23,9.52,7.43,1.94,0.96,1.07,-0.15,0.99,6.22,0.57,,0.10,278.65
Osiajee Texfab,540198,,Trading,38.74,0.29,0.51,0.13,0.00,0.13,0.02,0.11,0.00,0.11,0.01,0.11,0.00,0.11,25.49,21.57,0.00,0.20,20.91
Oswal Agro Mills,500317,OSWALAGRO,Trading,45.21,-2.00,23.16,-2.30,3.30,1.00,0.09,0.91,0.04,0.87,2.87,-1.89,0.00,-1.89,-9.93,-8.16,134.23,-0.14,606.85
Oswal Green Tech,539290,OSWALGREEN,Finance & Investments,36.71,-7.83,5.12,-4.20,18.79,14.59,1.09,13.50,0.35,13.15,7.76,5.39,0.00,5.39,-82.03,105.27,256.81,0.21,942.75
Oswal Leasing,509099,,Finance & Investments,37.88,0.00,0.04,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,-25.00,-25.00,0.50,-0.20,1.89
Oswal Yarns,514460,,Trading,18.55,0.00,0.10,-0.10,0.00,-0.10,0.01,-0.11,0.00,-0.11,0.00,-0.10,0.00,-0.10,-100.00,-100.00,4.01,-0.25,7.44
OTCO Intl,523151,,Miscellaneous,8.49,0.03,0.94,0.02,0.10,0.12,0.00,0.12,0.00,0.12,0.01,0.10,0.00,0.10,2.13,10.64,2.59,0.08,11.01
Ovobel Foods,530741,,Food - Processing - Indian,206.20,-0.14,58.18,19.42,1.17,20.59,0.20,20.39,0.37,20.02,5.34,14.67,0.00,14.67,33.38,25.21,9.50,13.97,216.52
Owais Metal,,OWAIS,Mining / Minerals / Metals,1369.00,9.61,0.00,-0.75,,,,,,,,,,-2.08,,,,-1600.00,2489.16
Oxygenta Pharma,524636,,Pharmaceuticals - Indian - Bulk Drugs,33.15,-2.48,8.19,-2.25,-0.05,-2.25,0.85,-3.10,0.94,-4.09,0.20,-4.24,-0.05,-4.29,-27.47,-51.77,14.20,-3.02,117.63
P & G Health Ltd,500126,PGHL,Pharmaceuticals - Multinational,5055.25,101.65,320.92,79.66,4.97,84.63,5.89,78.74,0.21,78.53,19.34,59.19,0.00,59.19,24.82,18.44,,35.66,8391.72
P & G Hygiene,500459,PGHH,Personal Care - Multinational,16654.30,309.74,883.09,149.27,14.44,163.71,14.58,149.13,3.57,145.56,-19.46,165.02,0.00,165.02,16.90,18.69,,50.84,54061.10
P B A Infra.,532676,,Construction,11.25,3.49,7.65,-7.46,3.48,-6.58,1.09,-7.67,0.00,-5.07,6.19,-10.29,2.60,-11.26,-97.52,-134.51,13.50,-8.34,15.18
P I Industries,523642,PIIND,Pesticides / Agrochemicals - Indian,3838.95,553.60,1565.60,342.80,50.70,393.50,57.70,335.80,3.30,332.50,51.90,280.60,0.00,280.60,21.90,17.92,15.20,18.49,58243.83
P. H. Capital,500143,,Finance & Investments,201.50,12.72,15.50,-6.65,0.00,-6.65,0.06,-6.71,0.05,-6.76,-1.69,-5.07,0.00,-5.07,-42.90,-32.71,3.00,-16.90,60.46
P.E. Analytics,,PROPEQUITY,Miscellaneous,290.00,5.30,15.34,5.60,,,,,,,,,,5.24,,,,4.84,303.98
P.M. Telelinnks,513403,,Trading,5.45,0.02,11.96,-0.13,0.00,-0.13,0.00,-0.13,0.00,-0.13,-0.02,-0.11,0.00,-0.11,-1.09,-0.92,10.08,-0.11,5.49
Pace E-Commerce,543637,,Trading,30.50,0.69,19.33,0.40,,,,,,,,,,0.11,,,,0.05,68.73
Pacheli Indust.,523862,,Finance & Investments,15.70,0.46,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,,,3.73,-0.03,5.86
Pacific Inds,523483,,Miscellaneous,240.95,3.72,40.47,-2.55,8.02,5.47,2.83,2.64,0.60,2.04,0.39,1.65,0.00,1.65,-6.30,4.08,3.45,2.39,166.09
Padam Cotton,531395,,Finance & Investments,40.01,-1.48,0.00,-0.03,0.06,0.03,0.00,0.03,0.00,0.03,0.30,-0.27,0.00,-0.27,,,3.87,-0.70,15.50
Padmalaya Tele.,532350,,Entertainment / Electronic Media Software,2.98,-0.05,0.00,-0.09,0.04,-0.05,0.00,-0.05,0.00,-0.05,0.00,-0.05,0.00,-0.05,,,17.00,-0.03,5.06
Padmanabh Alloys,531779,,Plastics Products,31.29,0.29,9.67,-0.30,0.03,-0.27,0.00,-0.27,0.12,-0.39,0.00,-0.39,0.00,-0.39,-3.10,-4.03,5.71,-0.72,16.93
Padmanabh Inds.,526905,,Chemicals,8.03,-0.05,-0.47,0.05,0.00,0.05,0.01,0.04,0.00,0.04,0.00,0.04,0.00,0.04,,,6.08,0.07,4.88
PAE,517230,,Auto Ancillaries,4.26,-0.12,0.00,-0.13,0.52,0.39,0.00,0.39,0.06,0.33,0.00,0.33,0.00,0.33,,,,0.32,4.44
Pagaria Energy,531396,,Mining / Minerals / Metals,8.78,-0.01,0.00,-0.04,0.09,0.05,0.01,0.04,0.00,0.04,0.02,0.02,0.00,0.02,,,4.35,0.05,3.82
Page Industries,532827,PAGEIND,Textiles - Products,38913.90,229.65,964.59,134.33,7.12,141.45,21.29,120.16,13.63,106.53,28.18,78.35,0.00,78.35,13.93,8.12,11.15,70.24,43388.96
Paisalo Digital,532900,PAISALO,Finance & Investments,75.26,141.04,117.99,92.60,-4.53,92.60,0.99,91.61,59.22,27.86,7.20,23.46,-4.53,20.66,78.48,19.88,43.92,0.23,6758.66
Pakka,516030,PAKKA,Paper,250.95,19.73,111.10,20.02,1.96,21.98,3.22,18.76,2.95,15.81,4.20,11.61,0.00,11.61,18.02,10.45,35.24,3.05,982.92
Palash Securi.,540648,PALASHSECU,Finance & Investments,142.95,-2.61,10.68,-5.08,0.33,-4.75,0.19,-4.94,0.80,-5.74,0.48,-5.54,0.00,-6.22,-47.57,-58.24,10.00,-5.54,142.99
Palco Metals Ltd,539121,,Castings & Forgings,82.97,1.06,32.28,1.54,0.00,1.54,0.19,1.35,0.59,0.76,0.00,0.75,0.00,0.75,4.77,2.32,4.00,1.87,33.19
Palm Jewels,541444,,Trading,21.47,0.12,76.48,0.31,0.12,0.43,0.05,0.38,0.14,0.24,0.06,0.18,0.00,0.18,0.41,0.24,,0.18,21.56
Palred Technolog,532521,PALREDTEC,Computers - Software - Medium / Small,102.80,-2.17,31.74,-0.16,0.69,0.53,0.48,0.05,1.51,-1.46,0.00,-1.00,0.00,-1.46,-0.50,-4.60,9.73,-0.82,125.76
Pan Electronics,517397,,Electronics - Components,64.03,-0.30,0.73,-1.18,-0.03,-1.21,0.26,-1.47,0.21,-1.68,0.00,-1.68,0.00,-1.68,-161.64,-230.14,,-4.20,25.61
Pan India Corpor,511525,,Finance & Investments,2.13,-0.04,0.00,-0.68,0.00,-0.68,0.00,-0.68,0.00,-0.68,-0.02,-0.66,0.00,-0.66,,,214.26,-0.03,45.65
Panabyte Tech,538742,,Trading,25.57,-0.09,0.80,0.02,-0.28,0.07,0.03,0.04,0.11,-0.40,-0.10,0.03,-0.33,-0.30,2.50,3.75,4.39,-0.68,11.23
Panacea Biotec,531349,PANACEABIO,Pharmaceuticals - Indian - Bulk Drugs & Formln,135.50,-0.15,128.93,-5.67,34.44,9.39,9.51,-0.12,1.05,18.21,30.89,-1.17,19.38,-12.68,-4.40,-0.91,6.13,-2.07,829.95
Panache Digilife,,PANACHE,Computers - Hardware,119.80,0.98,54.45,2.34,0.11,2.71,0.23,2.48,1.13,1.09,0.38,0.97,-0.26,0.71,4.30,1.78,12.00,0.59,143.76
Panafic Industri,538860,,Finance & Investments,1.22,0.19,0.65,0.43,0.00,0.43,0.01,0.42,0.00,0.42,0.06,0.35,0.00,0.35,66.15,53.85,8.21,0.04,10.01
Panama Petrochem,524820,PANAMAPET,Petrochemicals,396.15,56.21,510.40,66.12,2.84,68.96,2.33,66.63,4.06,62.57,11.76,50.81,0.00,50.81,12.95,9.95,12.10,8.40,2396.45
Panasonic Carbon,508941,,Electrodes - Graphites,522.50,4.11,8.04,1.16,2.01,3.17,0.17,3.00,0.00,3.00,0.94,2.06,0.00,2.06,14.43,25.62,,4.29,250.78
Panasonic Energy,504093,,Dry Cells,520.00,6.44,60.83,-7.75,1.00,-5.67,0.93,-6.60,0.02,-7.70,-1.85,-4.76,-1.08,-5.84,-12.74,-7.83,7.50,-7.79,390.00
Panch.Organics,531726,,Pharmaceuticals - Indian - Bulk Drugs,185.85,4.91,29.53,3.95,1.17,5.12,0.64,4.48,0.23,4.25,1.28,2.99,0.00,2.99,13.38,10.13,10.03,2.54,218.97
Panchmahal Steel,513511,,Steel - Medium / Small,226.95,1.85,129.89,5.69,0.16,5.85,2.02,3.83,2.34,1.49,0.42,1.08,0.00,1.08,4.38,0.83,19.08,0.57,433.02
Panjon,526345,,Pharmaceuticals - Indian - Formulations,19.99,0.01,1.30,-0.11,0.24,0.13,0.11,0.02,0.02,0.00,0.00,0.00,0.00,0.00,-8.46,0.00,15.50,0.00,32.60
Pankaj Piyush,506122,,Finance & Investments,256.70,-0.36,3.31,0.24,-1.06,-0.82,0.00,-0.82,0.00,-0.82,0.00,-0.82,0.00,-0.82,7.25,-24.77,0.40,-20.50,10.27
Pankaj Polymers,531280,,Trading,10.32,-0.11,0.63,-0.16,0.34,0.18,0.03,0.15,0.11,0.04,0.01,0.04,0.00,0.04,-25.40,6.35,5.54,0.07,5.72
Panorama Studios,539469,,Entertainment / Electronic Media Software,903.95,4.79,58.73,8.80,0.38,9.18,0.21,8.97,3.08,5.89,2.19,3.70,0.00,3.70,14.98,6.30,12.45,5.02,1206.47
Pansari Develop.,,PANSARI,Construction,102.15,3.28,4.55,1.19,0.54,1.73,0.50,1.23,0.55,0.68,0.20,0.48,0.00,0.48,26.15,10.55,17.45,0.28,178.23
Panth Infinity,539143,,Trading,7.25,-0.12,1.27,-3.46,0.25,-3.21,0.00,-3.21,0.00,-3.21,-0.25,-2.96,0.00,-2.96,-272.44,-233.07,12.33,-1.60,13.39
Panyam Cement,500322,,Cement - South India,229.30,-8.14,2.70,-1.70,-29.26,-1.52,1.34,-2.86,0.05,-32.35,0.00,-2.91,-29.44,-32.35,-62.96,-107.78,0.40,-40.33,183.93
Paos Industries,530291,,Detergents / Intermediates,29.29,-0.02,0.00,-0.04,0.00,-0.04,0.00,-0.04,0.04,-0.08,0.00,-0.08,0.00,-0.08,,,,-0.13,17.88
Par Drugs & Che.,,PAR,Pharmaceuticals - Indian - Bulk Drugs,245.85,5.23,24.49,5.39,0.03,5.42,0.85,4.57,0.03,4.54,1.09,3.45,0.00,3.45,22.01,14.09,12.30,2.80,302.52
Paradeep Phosph.,543530,PARADEEP,Fertilizers,85.16,282.49,3643.94,90.61,70.19,160.80,50.47,110.33,79.76,30.57,20.59,9.98,0.00,9.98,2.49,0.27,575.45,0.12,6938.64
Parag Milk Foods,539889,PARAGMILK,Food - Processing - Indian,175.95,62.80,800.96,37.31,9.11,46.42,17.74,28.68,12.19,16.49,-5.86,22.35,0.00,22.35,4.66,2.79,95.20,1.90,2100.46
Paragon Finance,531255,,Finance & Investments,57.69,-0.11,0.29,-0.25,-0.89,-1.14,0.04,-1.18,0.00,-1.18,-0.18,-1.00,0.00,-1.00,-86.21,-344.83,4.25,-2.35,24.52
Paragon Fine,,PARAGON,Chemicals,125.00,8.90,71.57,10.43,,,,,,,,,,6.93,,,,19.25,244.58
Paramount Comm.,530555,PARACABLES,Cables - Power,73.00,24.07,202.08,11.25,6.60,17.85,2.28,15.57,1.77,13.80,0.00,13.80,0.00,13.80,5.57,6.83,38.84,0.71,2215.09
Paramount Cosmet,507970,,Personal Care - Indian,42.74,0.33,7.43,0.66,0.09,0.75,0.20,0.55,0.43,0.12,0.08,0.05,0.00,0.05,8.88,0.67,4.86,0.10,20.74
Paras Defence,543367,PARAS,Engineering,1454.65,12.44,65.10,17.20,0.75,17.95,2.95,15.00,2.13,12.87,1.03,10.76,0.00,11.84,26.42,18.19,39.00,2.76,5673.17
Paras Petrofils,521246,PARASPETRO,Textiles - Manmade,3.70,-0.01,0.00,-0.55,0.27,-0.28,0.00,-0.28,0.00,-0.28,0.00,-0.28,0.00,-0.28,,,36.78,-0.01,123.67
Parin Furniture,,PARIN,Miscellaneous,235.00,4.64,59.18,6.56,,,,,,,,,,2.82,,,,2.53,261.27
Parker Agrochem,524628,,Miscellaneous,19.55,0.15,1.38,0.88,0.02,0.90,-0.24,1.14,0.03,1.11,0.00,1.11,0.00,1.11,63.77,80.43,4.78,2.32,9.35
Parle Industries,532911,,Construction,11.80,-0.10,0.11,-0.13,0.21,0.12,0.00,0.12,0.00,0.08,0.07,0.01,-0.04,0.01,-118.18,9.09,14.00,0.01,16.50
Parmax Pharma,540359,,Pharmaceuticals - Indian - Bulk Drugs,30.79,-1.15,6.38,0.84,0.01,0.85,0.47,0.38,0.05,0.33,0.16,0.17,0.00,0.17,13.17,2.66,,0.45,11.52
Parnax Lab,506128,,Pharmaceuticals - Indian - Formulations,102.00,5.97,40.91,4.73,0.27,5.00,1.59,3.41,1.18,2.23,0.79,1.44,0.00,1.44,11.56,3.52,9.81,1.25,117.15
Parshva Enterpr.,542694,,Trading,175.95,0.15,5.28,0.11,0.00,0.11,0.00,0.11,0.02,0.09,0.02,0.07,0.00,0.07,2.08,1.33,10.05,0.07,176.83
Parshwanath Corp,511176,,Construction,61.20,0.05,0.25,0.02,0.17,0.16,0.00,0.16,0.00,0.19,0.03,0.14,0.03,0.16,8.00,56.00,3.13,0.51,19.17
Parsvnath Devl.,532780,PARSVNATH,Construction,13.38,52.46,280.07,-95.33,-94.64,-65.59,25.06,-90.65,106.37,-321.40,97.58,-332.79,-124.38,-421.05,-34.04,-119.41,217.59,-9.63,582.28
